Species,obs,flower_part,Length,Width
setosa,1,Sepal,5.1,3.5
setosa,2,Sepal,4.9,3.0
setosa,3,Sepal,4.7,3.2
setosa,4,Sepal,4.6,3.1
setosa,5,Sepal,5.0,3.6
setosa,6,Sepal,5.4,3.9
setosa,7,Sepal,4.6,3.4
setosa,8,Sepal,5.0,3.4
setosa,9,Sepal,4.4,2.9
setosa,10,Sepal,4.9,3.1
setosa,11,Sepal,5.4,3.7
setosa,12,Sepal,4.8,3.4
setosa,13,Sepal,4.8,3.0
setosa,14,Sepal,4.3,3.0
setosa,15,Sepal,5.8,4.0
setosa,16,Sepal,5.7,4.4
setosa,17,Sepal,5.4,3.9
setosa,18,Sepal,5.1,3.5
setosa,19,Sepal,5.7,3.8
setosa,20,Sepal,5.1,3.8
setosa,21,Sepal,5.4,3.4
setosa,22,Sepal,5.1,3.7
setosa,23,Sepal,4.6,3.6
setosa,24,Sepal,5.1,3.3
setosa,25,Sepal,4.8,3.4
setosa,26,Sepal,5.0,3.0
setosa,27,Sepal,5.0,3.4
setosa,28,Sepal,5.2,3.5
setosa,29,Sepal,5.2,3.4
setosa,30,Sepal,4.7,3.2
setosa,31,Sepal,4.8,3.1
setosa,32,Sepal,5.4,3.4
setosa,33,Sepal,5.2,4.1
setosa,34,Sepal,5.5,4.2
setosa,35,Sepal,4.9,3.1
setosa,36,Sepal,5.0,3.2
setosa,37,Sepal,5.5,3.5
setosa,38,Sepal,4.9,3.6
setosa,39,Sepal,4.4,3.0
setosa,40,Sepal,5.1,3.4
setosa,41,Sepal,5.0,3.5
setosa,42,Sepal,4.5,2.3
setosa,43,Sepal,4.4,3.2
setosa,44,Sepal,5.0,3.5
setosa,45,Sepal,5.1,3.8
setosa,46,Sepal,4.8,3.0
setosa,47,Sepal,5.1,3.8
setosa,48,Sepal,4.6,3.2
setosa,49,Sepal,5.3,3.7
setosa,50,Sepal,5.0,3.3
versicolor,51,Sepal,7.0,3.2
versicolor,52,Sepal,6.4,3.2
versicolor,53,Sepal,6.9,3.1
versicolor,54,Sepal,5.5,2.3
versicolor,55,Sepal,6.5,2.8
versicolor,56,Sepal,5.7,2.8
versicolor,57,Sepal,6.3,3.3
versicolor,58,Sepal,4.9,2.4
versicolor,59,Sepal,6.6,2.9
versicolor,60,Sepal,5.2,2.7
versicolor,61,Sepal,5.0,2.0
versicolor,62,Sepal,5.9,3.0
versicolor,63,Sepal,6.0,2.2
versicolor,64,Sepal,6.1,2.9
versicolor,65,Sepal,5.6,2.9
versicolor,66,Sepal,6.7,3.1
versicolor,67,Sepal,5.6,3.0
versicolor,68,Sepal,5.8,2.7
versicolor,69,Sepal,6.2,2.2
versicolor,70,Sepal,5.6,2.5
versicolor,71,Sepal,5.9,3.2
versicolor,72,Sepal,6.1,2.8
versicolor,73,Sepal,6.3,2.5
versicolor,74,Sepal,6.1,2.8
versicolor,75,Sepal,6.4,2.9
versicolor,76,Sepal,6.6,3.0
versicolor,77,Sepal,6.8,2.8
versicolor,78,Sepal,6.7,3.0
versicolor,79,Sepal,6.0,2.9
versicolor,80,Sepal,5.7,2.6
versicolor,81,Sepal,5.5,2.4
versicolor,82,Sepal,5.5,2.4
versicolor,83,Sepal,5.8,2.7
versicolor,84,Sepal,6.0,2.7
versicolor,85,Sepal,5.4,3.0
versicolor,86,Sepal,6.0,3.4
versicolor,87,Sepal,6.7,3.1
versicolor,88,Sepal,6.3,2.3
versicolor,89,Sepal,5.6,3.0
versicolor,90,Sepal,5.5,2.5
versicolor,91,Sepal,5.5,2.6
versicolor,92,Sepal,6.1,3.0
versicolor,93,Sepal,5.8,2.6
versicolor,94,Sepal,5.0,2.3
versicolor,95,Sepal,5.6,2.7
versicolor,96,Sepal,5.7,3.0
versicolor,97,Sepal,5.7,2.9
versicolor,98,Sepal,6.2,2.9
versicolor,99,Sepal,5.1,2.5
versicolor,100,Sepal,5.7,2.8
virginica,101,Sepal,6.3,3.3
